pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,6/21/2022,95.7,-1.4,6.41,"Cease, Dylan",543807,656302,,called_strike,,,,,13,George Springer strikes out swinging.,R,R,R,CWS,TOR,S,,,0,0,2022,-0.12,1.71,-0.88,2.35,,,,0,1,Top,,,,,664874,,,1.626971014,-139.23211,-8.919615189,-1.92084594,31.1275583,-8.071700703,3.57,1.68,,,,95,2480,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.6,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,195,0,-0.034
SL,6/21/2022,86.9,-1.74,6.39,"Cease, Dylan",543807,656302,,ball,,,,,11,George Springer strikes out swinging.,R,R,R,CWS,TOR,B,,,0,1,2022,0.58,-0.02,-0.79,4.25,,,,0,1,Top,,,,,664874,,,1.086872924,-126.6205533,1.013263166,6.034170387,23.72107473,-32.80001458,3.57,1.65,,,,86.5,2901,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.75,,,,,,,,1,2,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,47,0,0.025
KC,6/21/2022,80,-1.26,6.4,"Cease, Dylan",543807,656302,,swinging_strike,,,,,8,George Springer strikes out swinging.,R,R,R,CWS,TOR,S,,,1,1,2022,0.49,-1.59,-0.13,1.79,,,,0,1,Top,,,,,664874,,,1.565034111,-116.411909,-0.347505898,4.086935812,25.00802418,-46.66343153,3.51,1.57,,,,78.8,2666,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.71,,,,,,,,1,3,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shift,Standard,20,0,-0.054
KC,6/21/2022,82.5,-1.31,6.42,"Cease, Dylan",543807,656302,,ball,,,,,12,George Springer strikes out swinging.,R,R,R,CWS,TOR,B,,,1,2,2022,0.72,-1.48,1.28,2.9,,,,0,1,Top,,,,,664874,,,4.434505526,-119.9993793,1.446478619,5.967963751,26.20265038,-46.94610547,3.42,1.63,,,,81.3,2823,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.7,,,,,,,,1,4,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shift,Standard,21,0,0.037
SL,6/21/2022,87.4,-1.68,6.33,"Cease, Dylan",543807,656302,strikeout,swinging_strike,,,,,8,George Springer strikes out swinging.,R,R,R,CWS,TOR,S,2,,2,2,2022,0.54,-0.2,0.05,1.64,,,,0,1,Top,,,,,664874,,,3.034066949,-127.3417517,-4.813377563,5.335807517,23.25911632,-33.68378773,3.51,1.57,,,,87.2,2882,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.63,,,0,1,0,0,,1,5,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,57,0.022,-0.195
SL,6/21/2022,87,-1.67,6.36,"Cease, Dylan",666182,656302,,swinging_strike,,,,,9,Bo Bichette strikes out swinging.,R,R,R,CWS,TOR,S,,,0,0,2022,0.78,0,0.8,1.71,,,,1,1,Top,,,,,664874,,,4.313489629,-126.6987425,-5.010492672,7.583814614,24.0572284,-31.43551466,3.77,1.71,53,,,86.9,2957,6,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.46,,,,,,,,2,1,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,63,0,-0.024
FF,6/21/2022,96.3,-1.3,6.48,"Cease, Dylan",666182,656302,,foul,,,,,3,Bo Bichette strikes out swinging.,R,R,R,CWS,TOR,S,,,0,1,2022,0.06,1.82,0.59,3.79,,,,1,1,Top,,,,,664874,,,4.838979102,-140.0691802,-5.617727158,-0.40915042,33.01210974,-7.151005443,3.77,1.71,293,87.4,46,95.1,2558,5.7,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.76,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,194,0,-0.031
KC,6/21/2022,84.3,-1.43,6.24,"Cease, Dylan",666182,656302,,ball,,,,,14,Bo Bichette strikes out swinging.,R,R,R,CWS,TOR,B,,,0,2,2022,0.7,-1.26,0.62,0.25,,,,1,1,Top,,,,,664874,,,3.336356562,-122.7022779,-5.019036157,6.428273627,24.63998612,-44.06729073,3.66,1.73,,,,83.7,2883,5.9,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.61,,,,,,,,2,3,Knuckle Curve,0,0,0,0,0,0,0,0,Strategic,Standard,17,0,0.011
SL,6/21/2022,88.3,-1.78,6.22,"Cease, Dylan",666182,656302,,foul,,,,,6,Bo Bichette strikes out swinging.,R,R,R,CWS,TOR,S,,,1,2,2022,0.34,0.18,0.52,3.1,,,,1,1,Top,,,,,664874,,,4.876696846,-128.7218614,-2.067975071,3.0676303,19.7723664,-29.9295068,3.77,1.71,302,97.3,16,88.6,2877,5.8,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.7,,,,,,,,2,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,82,0,0
SL,6/21/2022,88.2,-1.74,6.09,"Cease, Dylan",666182,656302,strikeout,swinging_strike,,,,,14,Bo Bichette strikes out swinging.,R,R,R,CWS,TOR,S,2,,1,2,2022,0.27,0.08,0.62,0.91,,,,1,1,Top,,,,,664874,,,5.131964981,-128.3966513,-6.717724355,2.081610066,23.13231001,-30.23807417,3.77,1.71,,,,88.2,2845,6,661481,656302,664874,547989,543281,664901,641313,572041,673357,641553,54.52,,,0,1,0,0,,2,5,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,76,0.015,-0.112
