pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,4/20/2022,89.7,-2.17,6.49,"Mikolas, Miles",607732,571945,,ball,,,,,14,"Jacob Stallings grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,MIA,STL,B,,,0,2,2022,0.53,0.45,2.32,1.29,,,,0,3,Bot,,,,,425877,,,10.01310567,-130.2004198,-7.848006517,3.998691865,26.11479761,-25.56538546,3.14,1.55,,,,90,2533,6.5,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.99,,,,,,,,19,3,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,182,0,0.017
SL,4/20/2022,89.2,-2.15,6.4,"Mikolas, Miles",541645,571945,,ball,,,,,14,"Avisail Garcia grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,R,MIA,STL,B,,,0,2,2022,0.31,0.43,2.13,1.26,,,,1,2,Bot,,,,,425877,,,9.887910904,-129.3799316,-7.512990482,1.521686221,26.26610953,-25.98351624,3.36,1.77,,,,89.4,2457,6.5,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.96,,,,,,,,13,3,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,166,0,0.011
SL,4/20/2022,90.3,-2.1,6.12,"Alcantara, Sandy",571448,645261,,blocked_ball,,,,,14,Nolan Arenado strikes out swinging.  Paul Goldschmidt steals (2) 2nd base.,R,R,R,MIA,STL,B,,,0,2,2022,-0.18,0.49,2.06,0.5,669242,,502671,1,1,Top,,,,,607732,,,10.64818725,-130.8446824,-8.934488842,-4.492496532,30.45286856,-24.61926685,3.29,1.65,,,,89.4,2349,6.2,661404,645261,607732,542583,665862,621563,500743,624585,660821,541645,54.28,,,,,,,,4,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,217,0,0.026
CU,4/20/2022,76.3,-1.84,6.55,"Mikolas, Miles",660821,571945,hit_by_pitch,hit_by_pitch,,,,,14,Jesus Sanchez hit by pitch.,R,L,R,MIA,STL,B,,,2,2,2022,0.92,-1.22,1.89,0.64,,,,1,4,Bot,,,,,425877,,,6.199125455,-110.8208526,-3.005832903,6.100649242,24.15329985,-41.64861349,3.31,1.59,,,,75.7,2541,6.5,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.01,,,0.7,1,0,0,,27,5,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,30,0.03,0.284
SL,4/20/2022,87.9,-2.24,6.38,"Mikolas, Miles",643265,571945,,ball,,,,,14,Garrett Cooper singles on a line drive to right fielder Lars Nootbaar.,R,R,R,MIA,STL,B,,,0,2,2022,0.51,0.08,1.85,1.45,,,,0,6,Bot,,,,,425877,,,8.883069876,-127.7531537,-6.019346135,3.80733065,25.97446687,-30.26083443,3.41,1.72,,,,88.3,2340,6.6,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.94,,,,,,,,42,3,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,163,0,0.017
FF,4/20/2022,94.7,-1.98,5.53,"Pallante, Andre",607732,669467,,ball,,,,,14,Jacob Stallings called out on strikes.,R,R,R,MIA,STL,B,,,2,2,2022,0.07,0.77,1.8,0.73,,,,1,7,Bot,,,,,425877,,,9.832510576,-137.4524978,-8.670194165,-1.178574293,29.67971152,-20.60661738,3.11,1.52,,,,95.9,2271,7.1,661404,669467,425877,502671,669242,571448,657557,641933,664056,663457,53.44,,,,,,,,50,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,189,0,0.073
FF,4/20/2022,95.6,-2.03,5.71,"Pallante, Andre",542583,669467,,blocked_ball,,,,,14,Jesus Aguilar strikes out on a foul tip.,R,R,R,MIA,STL,B,,,0,0,2022,0.1,0.89,1.67,0.76,,,643265,1,6,Bot,,,,,425877,,,9.61278936,-138.7267338,-9.515292271,-0.720647454,29.05264204,-18.66815623,3.48,1.78,,,,96.6,2235,6.9,661404,669467,425877,502671,669242,571448,657557,641933,664056,663457,53.64,,,,,,,,44,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200,0,0.042
CU,4/20/2022,78.9,1.07,6.13,"Cabrera, Génesis",624585,650893,,ball,,,,,12,"Jorge Soler grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,R,L,MIA,STL,B,,,1,0,2022,-1.04,-0.77,1.61,3.98,,,,1,8,Bot,,,,,425877,,,3.076918149,-114.6991442,3.587522113,-9.734570349,22.42266009,-39.8610032,3.34,1.71,,,,78.4,2392,6.1,661404,650893,425877,502671,669242,571448,657557,641933,664056,663457,54.38,,,,,,,,56,2,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,322,0,0.044
SL,4/20/2022,86,-1.97,6.69,"Gallegos, Giovanny",500743,606149,,ball,,,,,14,"Miguel Rojas grounds into a force out, third baseman Nolan Arenado to second baseman Tommy Edman.   Brian Anderson out at 2nd.",R,R,R,MIA,STL,B,,,0,0,2022,0,0.27,1.52,2.15,,541645,605119,2,9,Bot,,,,,425877,,,8.209220768,-125.0766178,-5.086354926,-1.480438536,23.32373719,-28.53231405,3.23,1.67,,,,85.6,2332,5.9,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.61,,,,,,,,68,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,245,0,0.054
SL,4/20/2022,90,-2.15,6.14,"Alcantara, Sandy",571448,645261,,ball,,,,,14,Nolan Arenado strikes out swinging.  Paul Goldschmidt steals (2) 2nd base.,R,R,R,MIA,STL,B,,,1,2,2022,-0.26,0.07,1.48,2.06,669242,,502671,1,1,Top,,,,,607732,,,9.484241162,-130.7064603,-4.214376922,-5.098323271,29.31067723,-30.58436396,3.23,1.57,,,,89.1,2145,6,661404,645261,607732,542583,665862,621563,500743,624585,660821,541645,54.54,,,,,,,,4,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,235,0,0.096
