pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,4/16/2022,88.5,2.23,6.02,"Ryu, Hyun Jin",640461,547943,,ball,,,,,14,Chad Pinder flies out to second baseman Santiago Espinal.,R,R,L,TOR,OAK,B,,,0,0,2022,1.15,1.04,0.29,1.45,,,,0,1,Top,,,,,672386,,,-7.166046728,-128.4971813,-7.163351395,14.32645703,30.04248958,-19.30524345,3.37,1.57,,,,88.2,2006,6.5,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,53.99,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,137,0,0.033
FF,4/16/2022,89.5,2.25,6.04,"Ryu, Hyun Jin",640461,547943,,ball,,,,,14,Chad Pinder flies out to second baseman Santiago Espinal.,R,R,L,TOR,OAK,B,,,1,0,2022,1.19,1.12,1.3,2.14,,,,0,1,Top,,,,,672386,,,-4.875393816,-130.1004603,-5.895675982,14.50724868,31.52282035,-18.41154813,3.4,1.57,,,,89.1,2104,6.5,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.03,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,137,0,0.063
CU,4/16/2022,69.4,2.17,6.32,"Ryu, Hyun Jin",640461,547943,,ball,,,,,6,Chad Pinder flies out to second baseman Santiago Espinal.,R,R,L,TOR,OAK,B,,,2,0,2022,-1.24,-1.23,0.7,2.26,,,,0,1,Top,,,,,672386,,,-0.777437038,-100.8499739,2.188063235,-8.14526557,20.36356412,-41.0924128,3.32,1.46,,,,68.6,2533,6.3,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.19,,,,,,,,1,3,Curveball,0,0,0,0,0,0,0,0,Infield shift,Strategic,323,0,0.134
FF,4/16/2022,89.5,2.19,6.08,"Ryu, Hyun Jin",640461,547943,,called_strike,,,,,5,Chad Pinder flies out to second baseman Santiago Espinal.,R,R,L,TOR,OAK,S,,,3,0,2022,1.2,1.13,-0.21,2.27,,,,0,1,Top,,,,,672386,,,-8.475480682,-129.9094378,-5.683887476,15.47065458,30.74115888,-18.37480333,3.47,1.52,,,,89,2061,6.4,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.1,,,,,,,,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,137,0,-0.076
FC,4/16/2022,85,2.15,6.06,"Ryu, Hyun Jin",640461,547943,field_out,hit_into_play,,,,,1,Chad Pinder flies out to second baseman Santiago Espinal.,R,R,L,TOR,OAK,X,4,fly_ball,3,1,2022,-0.25,0.93,-0.48,2.98,,,,0,1,Top,135.79,116.17,,,672386,,,-5.668609087,-123.6514052,-2.69454646,-1.268979035,26.97157304,-22.35694503,3.47,1.59,211,83.4,56,84.8,1993,6.4,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.14,0.037,0.045,0,1,0,0,3,1,5,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,152,0.022,-0.375
FF,4/16/2022,88.9,2.01,6.08,"Ryu, Hyun Jin",462101,547943,,swinging_strike,,,,,4,"Elvis Andrus grounds out softly, third baseman Matt Chapman to first baseman Vladimir Guerrero.",R,R,L,TOR,OAK,S,,,0,0,2022,1.23,0.99,-0.31,2.62,,,,1,1,Top,,,,,672386,,,-8.290541009,-129.0329161,-4.412990978,15.55226392,30.84800272,-20.40469097,3.37,1.53,,,,88.6,2017,6.6,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,53.93,,,,,,,,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,133,0,-0.024
FC,4/16/2022,86.1,2.11,6.11,"Ryu, Hyun Jin",462101,547943,,called_strike,,,,,1,"Elvis Andrus grounds out softly, third baseman Matt Chapman to first baseman Vladimir Guerrero.",R,R,L,TOR,OAK,S,,,0,1,2022,0.17,1,-0.52,3.24,,,,1,1,Top,,,,,672386,,,-6.581650035,-125.2866111,-2.586243816,3.160690101,26.35566726,-21.31021893,3.29,1.38,,,,86.1,2007,6.4,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.13,,,,,,,,2,2,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,156,0,-0.031
FC,4/16/2022,87.3,2.02,6.06,"Ryu, Hyun Jin",462101,547943,field_out,hit_into_play,,,,,13,"Elvis Andrus grounds out softly, third baseman Matt Chapman to first baseman Vladimir Guerrero.",R,R,L,TOR,OAK,X,5,ground_ball,0,2,2022,0.15,1.05,-1.3,2.41,,,,1,1,Top,97.34,166.77,,,672386,,,-8.32037813,-126.8062223,-4.768059085,3.394069741,26.69153699,-20.08863995,3.37,1.53,5,58.4,-27,87.4,2003,6.5,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.01,0.069,0.071,0,1,0,0,1,2,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,151,0.015,-0.1
FF,4/16/2022,90.2,2.14,6.02,"Ryu, Hyun Jin",476704,547943,,called_strike,,,,,3,Jed Lowrie called out on strikes.,R,R,L,TOR,OAK,S,,,0,0,2022,0.92,1.16,0.66,2.99,,,,2,1,Top,,,,,672386,,,-5.658535172,-131.114716,-4.005399077,11.8564207,29.55597843,-18.1668998,3.51,1.6,,,,90.2,1993,6.5,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.03,,,,,,,,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Strategic,137,0,-0.017
CH,4/16/2022,78.7,2.4,5.86,"Ryu, Hyun Jin",476704,547943,,ball,,,,,12,Jed Lowrie called out on strikes.,R,R,L,TOR,OAK,B,,,0,1,2022,1.23,0.44,2.14,2.89,,,,2,1,Top,,,,,672386,,,-2.844473963,-114.5875322,-0.380784736,11.36983095,23.23837431,-28.48772662,3.45,1.46,,,,78.6,1488,6.4,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.13,,,,,,,,3,2,Changeup,0,0,0,0,0,0,0,0,Infield shift,Strategic,117,0,0.011
CU,4/16/2022,70.6,1.84,6.23,"Ryu, Hyun Jin",476704,547943,,foul,,,,,6,Jed Lowrie called out on strikes.,R,R,L,TOR,OAK,S,,,1,1,2022,-1.18,-1.32,0.31,2.4,,,,2,1,Top,,,,,672386,,,-1.014087718,-102.5465381,2.582998208,-7.986433536,21.12355503,-42.13521439,3.37,1.53,179,86.1,13,69.7,2586,6.3,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.23,,,,,,,,3,3,Curveball,0,0,0,0,0,0,0,0,Infield shift,Strategic,328,0,-0.023
FC,4/16/2022,86.4,2,6.15,"Ryu, Hyun Jin",476704,547943,strikeout,called_strike,,,,,13,Jed Lowrie called out on strikes.,R,R,L,TOR,OAK,S,2,,1,2,2022,-0.15,0.69,-0.98,2.18,,,,2,1,Top,,,,,672386,,,-6.824146109,-125.5841008,-4.651611867,-0.20422765,25.51084224,-24.07881025,3.43,1.57,,,,86.6,2038,6.5,661759,547943,672386,665489,669289,656305,666182,666971,605548,606132,54.03,,,0,1,0,0,,3,4,Cutter,0,0,0,0,0,0,0,0,Infield shift,Strategic,156,0.01,-0.07
SI,4/16/2022,91.8,-1.88,6.13,"Blackburn, Paul",606132,621112,,called_strike,,,,,7,Raimel Tapia doubles (1) on a sharp fly ball to right fielder Drew Jackson.,R,L,R,TOR,OAK,S,,,0,0,2022,-1.24,0.77,-0.53,1.71,,,,0,1,Bot,,,,,669221,,,6.063021426,-133.3939569,-6.941217231,-16.11635611,28.6212922,-21.70569145,3.49,1.63,,,,91.5,1995,6.2,661759,621112,669221,542194,641914,675656,462101,640461,665506,623515,54.34,,,,,,,,4,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,211,0,-0.034
CH,4/16/2022,86.9,-2,6.16,"Blackburn, Paul",606132,621112,,foul,,,,,14,Raimel Tapia doubles (1) on a sharp fly ball to right fielder Drew Jackson.,R,L,R,TOR,OAK,S,,,0,1,2022,-1.27,0.31,0.01,1.47,,,,0,1,Bot,,,,,669221,,,7.388250329,-126.3264018,-5.693776242,-15.13417483,25.27789963,-27.84849813,3.49,1.6,3,74.2,-30,86.9,2062,6.3,661759,621112,669221,542194,641914,675656,462101,640461,665506,623515,54.23,,,,,,,,4,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,220,0,-0.046
CU,4/16/2022,79.9,-1.9,6.03,"Blackburn, Paul",606132,621112,double,hit_into_play,,,,,9,Raimel Tapia doubles (1) on a sharp fly ball to right fielder Drew Jackson.,R,L,R,TOR,OAK,X,9,fly_ball,0,2,2022,0.81,-1.4,0.77,1.91,,,,0,1,Bot,220.41,101.68,,,669221,,,4.351587205,-116.2019313,0.409473774,6.272065313,26.10989156,-44.99854796,3.49,1.6,332,100,24,79,2594,6.1,661759,621112,669221,542194,641914,675656,462101,640461,665506,623515,54.38,0.497,0.745,1.25,1,1,1,6,4,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,25,0.06,0.714
