pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,6/22/2022,95.6,-2.54,5.42,"Morton, Charlie",592626,450203,,called_strike,,,,,5,Joc Pederson strikes out swinging.,R,L,R,ATL,SF,S,,,0,0,2022,-0.97,0.88,0.22,2.32,,,,0,1,Top,,,,,661388,,,9.431146095,-138.8843924,-4.542897077,-14.58543761,30.40586544,-19.91729438,3.41,1.76,,,,95.4,2458,6.2,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.28,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,230,0,-0.034
CU,6/22/2022,80.6,-2.56,5.33,"Morton, Charlie",592626,450203,,ball,,,,,13,Joc Pederson strikes out swinging.,R,L,R,ATL,SF,B,,,0,1,2022,1.45,-0.95,-1.39,2.48,,,,0,1,Top,,,,,661388,,,-0.168458471,-117.3100965,2.215581182,13.33982518,24.98583398,-41.59867777,3.36,1.67,,,,80.1,3255,6.2,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.26,,,,,,,,1,2,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,52,0,0.025
CU,6/22/2022,80.8,-2.6,5.28,"Morton, Charlie",592626,450203,,called_strike,,,,,2,Joc Pederson strikes out swinging.,R,L,R,ATL,SF,S,,,1,1,2022,1.37,-0.92,-0.08,3.06,,,,0,1,Top,,,,,661388,,,3.021075146,-117.4841225,3.534436744,11.91893668,24.67843591,-41.6004485,3.38,1.74,,,,80.4,3125,6.3,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.21,,,,,,,,1,3,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,60,0,-0.054
CU,6/22/2022,81.2,-2.72,5.24,"Morton, Charlie",592626,450203,,foul,,,,,5,Joc Pederson strikes out swinging.,R,L,R,ATL,SF,S,,,1,2,2022,1.51,-0.94,0.13,2.58,,,,0,1,Top,,,,,661388,,,3.48913061,-118.0516361,2.559653765,13.19035573,25.57560121,-41.67829923,3.47,1.72,,,,80.8,3291,6.4,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.11,,,,,,,,1,4,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,58,0,0
FF,6/22/2022,97.1,-2.47,5.38,"Morton, Charlie",592626,450203,strikeout,swinging_strike,,,,,11,Joc Pederson strikes out swinging.,R,L,R,ATL,SF,S,2,,1,2,2022,-0.98,1.14,-0.63,3.75,,,,0,1,Top,,,,,661388,,,7.213116714,-141.3047089,-1.435815985,-14.84100393,32.2628249,-16.82342898,3.47,1.72,,,,97.4,2338,6.4,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.05,,,0,1,0,0,,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,231,0.022,-0.158
FF,6/22/2022,95.8,-2.57,5.28,"Morton, Charlie",573262,450203,home_run,hit_into_play,,,,,8,Mike Yastrzemski homers (7) on a fly ball to right field.,R,L,R,ATL,SF,X,,fly_ball,0,0,2022,-0.86,1.2,0.01,2.19,,,,1,1,Top,218.73,76.54,,,661388,,,8.736257907,-139.1580749,-5.247368928,-13.14321364,30.6294197,-15.51959437,3.47,1.64,378,101.1,36,95.7,2467,6.3,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.24,0.351,0.696,2,1,0,3,5,2,1,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Standard,237,-0.103,1
FC,6/22/2022,90.5,-2.56,5.22,"Morton, Charlie",527038,450203,,ball,,,,,14,Wilmer Flores reaches on a fielding error by third baseman Orlando Arcia.,R,R,R,ATL,SF,B,,,0,0,2022,0.17,0.39,1.12,1.82,,,,1,1,Top,,,,,661388,,,8.80430074,-131.5550456,-3.416435604,0.279584911,25.72762243,-27.07501861,3.25,1.67,,,,90.7,2522,6.3,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.23,,,,,,,,3,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,206,0,0.023
FF,6/22/2022,95.6,-2.48,5.28,"Morton, Charlie",527038,450203,field_error,hit_into_play,,,,,7,Wilmer Flores reaches on a fielding error by third baseman Orlando Arcia.,R,R,R,ATL,SF,X,5,ground_ball,1,0,2022,-1.12,0.89,-0.58,2.06,,,,1,1,Top,99.04,166.22,,,661388,,,7.528015309,-139.0706248,-4.894281556,-16.2064448,30.55252864,-19.64936001,3.19,1.57,64,82.4,4,95.6,2516,6.3,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.22,0.269,0.242,0.9,1,0,0,2,3,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,236,-0.022,0.263
CU,6/22/2022,79.6,-2.58,5.25,"Morton, Charlie",474832,450203,,ball,,,,,11,Brandon Belt lines out to right fielder Ronald Acuna Jr.,R,L,R,ATL,SF,B,,,0,0,2022,1.42,-0.92,-2.26,3.11,,,527038,1,1,Top,,,,,661388,,,-1.955561698,-115.7962492,3.796318912,13.12956079,22.35354186,-41.35722387,3.27,1.51,,,,79.3,3074,6.2,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.33,,,,,,,,4,1,Curveball,0,1,1,0,1,0,1,0,Infield shift,Standard,53,0,0.042
FF,6/22/2022,95.5,-2.39,5.34,"Morton, Charlie",474832,450203,field_out,hit_into_play,,,,,6,Brandon Belt lines out to right fielder Ronald Acuna Jr.,R,L,R,ATL,SF,X,9,line_drive,1,0,2022,-0.9,1.02,0.37,2.14,,,527038,1,1,Top,179.18,88.54,,,661388,,,9.26135071,-138.7218898,-5.091792051,-13.72327914,30.50034605,-18.01663714,3.19,1.53,304,98.9,19,95.4,2464,6.3,661141,450203,661388,621566,594838,606115,621020,594807,671739,660670,54.21,0.366,0.44,0,1,0,0,4,4,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shift,Standard,236,0.025,-0.342
