pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,9/12/2022,95.4,3.28,5.56,"Rogers, Trevor",543760,669432,,called_strike,,,,,14,Marcus Semien strikes out swinging.,R,R,L,MIA,TEX,S,,,0,0,2022,1.22,1.22,0.85,1.7,,,,0,1,Top,,,,,607732,,,-9.208879528,-138.4161584,-7.269009027,17.82743289,32.05805975,-14.96623272,3.24,1.57,,,,95.9,2503,6.8,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.7,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,115,0,-0.034
CH,9/12/2022,85.3,3.33,5.36,"Rogers, Trevor",543760,669432,,ball,,,,,14,Marcus Semien strikes out swinging.,R,R,L,MIA,TEX,B,,,0,1,2022,1.34,0.2,1.85,2.03,,,,0,1,Top,,,,,607732,,,-6.248921437,-124.074354,-1.942805897,15.07562229,24.49702014,-29.93385415,3.26,1.63,,,,86.3,1290,6.9,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.57,,,,,,,,1,2,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,106,0,0.025
FF,9/12/2022,95.8,3.25,5.58,"Rogers, Trevor",543760,669432,,foul,,,,,6,Marcus Semien strikes out swinging.,R,R,L,MIA,TEX,S,,,1,1,2022,1.22,1.15,0.58,2.6,,,,0,1,Top,,,,,607732,,,-9.878126387,-139.1235444,-4.837253321,18.08899142,32.86155791,-16.37300869,3.32,1.63,163,80.6,68,96.2,2486,6.7,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.77,,,,,,,,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,120,0,-0.054
CH,9/12/2022,85.1,3.06,5.5,"Rogers, Trevor",543760,669432,strikeout,swinging_strike,,,,,9,Marcus Semien strikes out swinging.,R,R,L,MIA,TEX,S,2,,1,2,2022,1.22,0.02,0.35,1.77,,,,0,1,Top,,,,,607732,,,-8.892529105,-123.6885572,-2.475282039,14.30536051,24.81641194,-31.67613042,3.32,1.63,,,,85.8,1188,6.8,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.67,,,0,1,0,0,,1,4,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,104,0.022,-0.158
FF,9/12/2022,96.5,3.21,5.63,"Rogers, Trevor",608369,669432,,ball,,,,,8,"Corey Seager grounds out sharply, shortstop Miguel Rojas to first baseman Lewin Diaz.",R,L,L,MIA,TEX,B,,,0,0,2022,1.26,1.25,0.13,1.49,,,,1,1,Top,,,,,607732,,,-11.05549485,-139.7887856,-8.20822939,19.13298972,34.09946633,-13.94515913,3.36,1.51,,,,96,2539,6.4,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,54.06,,,,,,,,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,125,0,0.023
FF,9/12/2022,96.7,3.17,5.53,"Rogers, Trevor",608369,669432,field_out,hit_into_play,,,,,14,"Corey Seager grounds out sharply, shortstop Miguel Rojas to first baseman Lewin Diaz.",R,L,L,MIA,TEX,X,6,ground_ball,1,0,2022,1.47,1.11,0.26,1.29,,,,1,1,Top,131.71,146.3,,,607732,,,-11.20715752,-140.1404062,-8.284941852,22.07774351,35.53526695,-15.62405415,3.51,1.56,8,101.9,-9,97,2537,7,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.52,0.291,0.287,0,1,0,0,2,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,123,0.015,-0.178
FF,9/12/2022,95.7,3.27,5.6,"Rogers, Trevor",663993,669432,,called_strike,,,,,6,Nathaniel Lowe singles on a line drive to left fielder Jon Berti.,R,L,L,MIA,TEX,S,,,0,0,2022,1.19,1.25,0.44,2.64,,,,2,1,Top,,,,,607732,,,-10.14293858,-138.8190742,-4.919872891,17.86267858,35.21031235,-15.12100794,3.34,1.56,,,,94.8,2700,6.3,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,54.24,,,,,,,,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,118,0,-0.017
FF,9/12/2022,96.1,3.18,5.63,"Rogers, Trevor",663993,669432,single,hit_into_play,,,,,5,Nathaniel Lowe singles on a line drive to left fielder Jon Berti.,R,L,L,MIA,TEX,X,7,line_drive,0,1,2022,1.23,1.11,0.26,2.22,,,,2,1,Top,48.3,115.85,,,607732,,,-10.52276338,-139.3632921,-5.874876146,18.48173297,35.0445709,-16.46714386,3.36,1.56,214,93.9,13,95.6,2609,6.5,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,54.02,0.937,0.923,0.9,1,1,0,4,3,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,124,-0.012,0.134
CH,9/12/2022,87.5,3.17,5.47,"Rogers, Trevor",666969,669432,,called_strike,,,,,4,"Adolis Garcia grounds out, second baseman Charles Leblanc to first baseman Lewin Diaz.",R,R,L,MIA,TEX,S,,,0,0,2022,1.52,0.36,-0.31,2.46,,,663993,2,1,Top,,,,,607732,,,-11.63979161,-126.9158652,-1.826241985,18.81519299,27.11558474,-28.06119075,3.27,1.67,,,,88.1,1559,7,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.54,,,,,,,,4,1,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,111,0,-0.035
CH,9/12/2022,86.3,3.13,5.49,"Rogers, Trevor",666969,669432,,swinging_strike,,,,,9,"Adolis Garcia grounds out, second baseman Charles Leblanc to first baseman Lewin Diaz.",R,R,L,MIA,TEX,S,,,0,1,2022,1.63,0.32,0.31,1.62,,,663993,2,1,Top,,,,,607732,,,-10.06775551,-125.1795024,-3.571365622,19.19638856,27.42864295,-28.26859985,3.38,1.67,,,,86.5,1426,6.8,661420,669432,607732,650331,641779,605119,500743,542932,668709,666464,53.72,,,,,,,,4,2,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,111,0,-0.048
