pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,9/16/2022,92.6,-1.44,5.86,"Houser, Adrian",592450,605288,,foul,,,,,7,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,S,,,0,0,2022,-1.48,0.72,-0.7,2.5,,,,0,1,Top,,,,,553882,,,5.17902558,-134.7406771,-4.37853022,-19.21739123,29.38163393,-22.62376883,3.98,1.91,5,73.8,-25,93,2053,6.6,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.95,,,,,,,,1,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,227,0,-0.034
SI,9/16/2022,93.1,-1.44,5.83,"Houser, Adrian",592450,605288,,ball,,,,,13,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,B,,,0,1,2022,-1.29,0.66,-0.41,1.56,,,,0,1,Top,,,,,553882,,,5.510996864,-135.3542357,-6.661880836,-17.04469062,29.43550875,-22.7901278,4.1,1.99,,,,93.7,2030,6.7,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.82,,,,,,,,1,2,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,226,0,0.025
SI,9/16/2022,93.3,-1.42,5.86,"Houser, Adrian",592450,605288,,called_strike,,,,,7,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,S,,,1,1,2022,-1.42,0.95,-0.4,1.86,,,,0,1,Top,,,,,553882,,,5.767741458,-135.6787551,-6.623630595,-18.78814667,30.08404421,-19.1595339,3.96,1.82,,,,93.5,2072,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.01,,,,,,,,1,3,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,230,0,-0.054
SL,9/16/2022,87.9,-1.43,5.83,"Houser, Adrian",592450,605288,,ball,,,,,14,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,B,,,1,2,2022,-0.18,0.38,1.51,1.48,,,,0,1,Top,,,,,553882,,,7.515400108,-127.8561197,-5.256421615,-3.42238699,25.24249391,-27.15913777,4.08,1.97,,,,88.5,2153,6.6,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.93,,,,,,,,1,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,157,0,0.037
SI,9/16/2022,95.1,-1.4,5.79,"Houser, Adrian",592450,605288,,ball,,,,,14,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,B,,,2,2,2022,-1.32,0.85,0.97,1.69,,,,0,1,Top,,,,,553882,,,9.193808938,-138.1339928,-7.016406485,-18.95466866,29.83129698,-19.94188413,4.02,1.97,,,,95.5,2112,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.96,,,,,,,,1,5,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,228,0,0.103
CU,9/16/2022,82.6,-1.45,5.72,"Houser, Adrian",592450,605288,,foul,,,,,14,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,S,,,3,2,2022,0.77,-1.08,0.25,1.46,,,,0,1,Top,,,,,553882,,,2.369659987,-120.2335869,-1.063720749,7.006118914,24.26050432,-42.66648421,3.99,1.92,12,76.9,-7,82.7,1981,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.04,,,,,,,,1,6,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,26,0,0
SI,9/16/2022,93,-1.42,5.78,"Houser, Adrian",592450,605288,,foul,,,,,4,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,S,,,3,2,2022,-1.36,0.79,-0.37,2.81,,,,0,1,Top,,,,,553882,,,5.701623313,-135.4076187,-3.614932317,-17.97281788,28.22566602,-21.88839765,3.99,1.92,10,98.6,-15,93.6,1950,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.02,,,,,,,,1,7,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,229,0,0
SI,9/16/2022,94.2,-1.42,5.78,"Houser, Adrian",592450,605288,single,hit_into_play,,,,,7,Aaron Judge singles on a ground ball to third baseman Jace Peterson.,R,R,R,MIL,NYY,X,5,ground_ball,3,2,2022,-1.27,0.73,-0.63,2.07,,,,0,1,Top,116.69,184.19,,,553882,,,4.87692895,-137.1151989,-5.577259887,-17.06870774,28.77207165,-22.00527939,3.99,1.92,1,84.1,-54,94.7,1932,6.4,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.06,0.209,0.214,0.9,1,1,0,2,1,8,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,232,-0.036,0.317
SI,9/16/2022,93.4,-1.46,5.81,"Houser, Adrian",519317,605288,,called_strike,,,,,7,Giancarlo Stanton flies out to right fielder Hunter Renfroe.,R,R,R,MIL,NYY,S,,,0,0,2022,-1.26,0.82,-0.81,2.35,,,592450,0,1,Top,,,,,553882,,,4.453600543,-135.9180019,-4.975633726,-16.63019323,30.72315631,-21.06640684,3.85,1.94,,,,93.5,2000,6.4,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,54.08,,,,,,,,2,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,230,0,-0.066
SI,9/16/2022,93.3,-1.42,5.77,"Houser, Adrian",519317,605288,field_out,hit_into_play,,,,,13,Giancarlo Stanton flies out to right fielder Hunter Renfroe.,R,R,R,MIL,NYY,X,9,fly_ball,0,1,2022,-1.31,0.72,-1.02,2.7,,,592450,0,1,Top,160.97,112.87,,,553882,,,3.942860166,-135.8477244,-3.729733528,-17.12229181,30.51268866,-22.64183716,3.75,1.83,234,76.1,45,93.7,1984,6.5,661164,605288,553882,642133,543939,607054,642715,592885,669003,592669,53.95,0.109,0.114,0,1,0,0,3,2,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,231,0.033,-0.287
